recordId,name,country,city,currentMarket,currentSubmarket,proposedMarket,proposedSubmarket,reason,confidence,source,issues
rec3LUKz0qPxOmmRm,Tropical Suites,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
rec3eRtK1JkiXZcTY,Palmar Beach Lodge,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
rec4YzhyLCYTN1BbJ,Parque Balneario Hotel,Brazil,Santos,Brazil Southeast,São Paulo,,Santos Dumont / Airport Corridor,city_corridor_submarket,Medium,city_corridor,city_corridor_submarket_mismatch
rec6sVPgm8E8UNHTA,Radisson Hotel Trinidad,Trinidad and Tobago,Port Of Spain,Trinidad & Tobago,Port of Spain,,Tobago,str_excel_submarket,High,str_excel,
rec7JPjHA9nrNblyq,The Oasis Hotel & Restaurant,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market_submarket,High,str_excel,
rec7rKjpwFTyzE5bi,"Alaia Belize, Autograph Collection",Belize,San Pedro Ambergris Caye,Belize,Ambergris Caye,,Belize City,str_excel_submarket,High,str_excel,
rec8dA9XYpRmt28at,AVA Cancun Resort,Mexico,Cancún,Mexican Caribbean,Cancún Airport Corridor,Cancun,,str_excel_market_submarket,High,str_excel,
rec9Al5t6gO9kVHCs,Hilton Los Cabos,Mexico,La Paz,Baja California,Other,,Los Cabos,str_excel_submarket,High,str_excel,
rec9Uurfy2XNmgSt2,La Coralina Island House,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recBL3aUnguYhjKyO,Secrets Playa Blanca Costa Mujeres,Mexico,Cancún,Mexican Caribbean,Cancún Airport Corridor,,Cozumel,str_excel_submarket,High,str_excel,
recBUhlH6fevhYFEe,"Sortis Hote, Spa & Casino, Autograph Collection",Panama,Panama City,Panama City,Panama City,Panama,,city_country_mode_market,Medium,census_city_mode,
recC8kLqWUaKO7Q7K,Bocas Paradise Hotel,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recEt4biGBy4vWeJr,Hotel Bocas Del Toro,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recF9FwPEUDUCvoKK,Roomo Santos Residencial,Brazil,Santos,Brazil Southeast,São Paulo,,Santos Dumont / Airport Corridor,city_corridor_submarket,Medium,city_corridor,city_corridor_submarket_mismatch
recGr7kvLyJWEMxvK,"The Ocean Club, A Four Seasons Resort, Bahamas",Bahamas,Paradise,Bahamas,Paradise Island,Bahamas Regional,,str_excel_market_submarket,High,str_excel,
recHBVkkXlwezvxqe,The Reef at Atlantis,Bahamas,Paradise,Bahamas,Paradise Island,Bahamas Regional,,str_excel_market_submarket,High,str_excel,
recJUyhILwsy8OKUW,Four Seasons Resort Los Cabos at Costa Palmas,Mexico,La Paz,Baja California,Other,,Los Cabos,str_excel_submarket,High,str_excel,
recK4KXKtrLo9Y3bj,Gran Hotel Bahia,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
recKRFcn2CvupE4tO,Hyatt Regency Trinidad,Trinidad and Tobago,Port of Spain,Trinidad & Tobago,Port of Spain,,Tobago,str_excel_submarket,High,str_excel,
recMJbc9lcmGymfTR,GHL Style Hotel Bogota Occidente,Colombia,Bogota,Bogota,Bogotá,Colombia Provincial,,str_excel_market_submarket,High,str_excel,
recO8e82QfmzdJml2,Hotel El Ganzo,Mexico,La Paz,Baja California,Other,,Los Cabos,str_excel_submarket,High,str_excel,
recOpYPE7wn75DBp7,Bambuda Castle,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market_submarket,High,str_excel,
recOx0zUKSQYBLn6o,Montage Los Cabos,Mexico,La Paz,Baja California,Other,,Los Cabos,str_excel_submarket,High,str_excel,
recPYrR8BEyhlH8Y8,La Casa de la Abuela,Panama,Boquete,Panama Provincial,Boquete / Highlands,Panama,,provincial_market_realign,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket
recQMbZSE3lLOsR2B,Valle Escondido Resort Golf & Spa,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market_submarket,High,str_excel,
recR22NdWb5KoRAPe,Parthenon Santos Cosmopolitan,Brazil,Santos,Brazil Southeast,São Paulo,,Santos Dumont / Airport Corridor,city_corridor_submarket,Medium,city_corridor,city_corridor_submarket_mismatch
recRdLyNeef88XFFw,"Bristol Panama, a Registry Collection Hotel",Panama,Panama City,Panama City,Panama City,Panama,,city_country_mode_market,Medium,census_city_mode,
recUCZrtHYxpf93UP,Wyndham Nordelta Tigre Buenos Aires,Argentina,Buenos Aires,Buenos Aires,Buenos Aires,Argentina Provincial,,str_excel_market_submarket,High,str_excel,
recUVdUrSlEe2gH87,Comfort Suites Paradise Island,Bahamas,Nassau,Nassau,Nassau / New Providence,Bahamas Regional,,str_excel_market_submarket,High,str_excel,
recUa1Ofy2xVZVukP,Now Emerald Cancun,Mexico,Cancún,Mexican Caribbean,Cancún Airport Corridor,Cancun,,str_excel_market_submarket,High,str_excel,
recUg3ivIaCh86I2Z,Hyatt Vivid Grand Island,Mexico,Cancún,Mexican Caribbean,Cancún Airport Corridor,Cancun,,str_excel_market_submarket,High,str_excel,
recUos0waakyBIW56,La Casa Corazon,Panama,Bocas del Toro,Panama Provincial,Bocas del Toro,Panama,,submarket_dominant_market,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket; market_not_dominant_for_submarket
recVg3a3wptVc2qQ7,Casa Dorada Los Cabos Resort & Spa,Mexico,La Paz,Baja California,Other,,Los Cabos,str_excel_submarket,High,str_excel,
recWA9NQMlffj4JbY,Kapok Hotel,Trinidad and Tobago,Port Of Spain,Trinidad & Tobago,Port of Spain,,Tobago,str_excel_submarket,High,str_excel,
recWS8UI4a3c9l2a9,Villa Marina Lodge & Condos,Panama,Panama,Panama Provincial,Panama City,Panama,,str_excel_submarket,High,str_excel,provincial_market_with_specific_submarket
recWgEN45pbEJ6mob,Hotel Ladera,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market_submarket,High,str_excel,
recWrnY84t7gHJUw5,Fiesta Inn Express Puebla Explanada,Mexico,Cholula,Mexico Central South,Other,,Puebla,str_excel_submarket,High,str_excel,
recXedO8npDs6lQdv,The BRIX Autograph Collection,Trinidad and Tobago,Port Of Spain,Trinidad & Tobago,Port of Spain,,Tobago,str_excel_submarket,High,str_excel,
recd4w1KZWuADb2W1,Alaia Belize Autograph Collection,Belize,San Pedro Ambergris Caye,Belize,Ambergris Caye,,Belize City,str_excel_submarket,High,str_excel,
recfRSvAWDabo8cyM,"The Haven, Boquete",Panama,Boquete,Panama Provincial,Boquete / Highlands,Panama,,provincial_market_realign,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket
recfUEeDCPh1chcNk,OYO Hotel Merida,Mexico,Centro,Gulf of Mexico,Centro Histórico,,Veracruz,str_excel_submarket,High,str_excel,
recflJ5ywfEqgdhud,Nayara Bocas del Toro,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
rechpqr6FU54kolgw,"Hotel El Panama by Faranda Grand, a member of Radisson Individuals",Panama,Panama City,Panama City,Panama City,Panama,,city_country_mode_market,Medium,census_city_mode,
rechxY4HNHwfCne17,Andaz Mexico City Condesa,Mexico,Cuauhtemoc,Mexico Central North,Mexico City,Mexico City,,str_excel_market_submarket,High,str_excel,market_not_dominant_for_submarket
reci3bR0tOtvGHTHK,Hotel F Sur Inn,Panama,Panama,Panama,Panama City,Panama Provincial,,str_excel_market_submarket,High,str_excel,
reciAW0FLQ2c2dXAi,Marriott Buenos Aires Ezeiza Airport,Argentina,Buenos Aires,Buenos Aires,Buenos Aires,Argentina Provincial,,str_excel_market_submarket,High,str_excel,
recj2apqq2iQoE2CO,Bambuda Bocas Town,Panama,Bocas del Toro,Panama,Bocas del Toro,Panama Provincial,,str_excel_market,High,str_excel,
reck6kndI098Zxnz7,Camberland Hotel & Suites Pilar,Argentina,Pilar,Argentina Provincial,Buenos Aires,Buenos Aires,,submarket_dominant_market,Medium,census_submarket_dominant_market,provincial_market_with_specific_submarket; market_not_dominant_for_submarket
reckBwNA98I9apLLU,The Ocean Club A Four Seasons Resort Bahamas,Bahamas,Paradise,Bahamas,Paradise Island,Bahamas Regional,,str_excel_market_submarket,High,str_excel,
reckM1T4mT6ZpKvHo,Paradisus Los Cabos - Adults Only,Mexico,La Paz,Baja California,Other,,Los Cabos,str_excel_submarket,High,str_excel,
reclZApjWV10xjS6A,"Marriott Executive Apartments Panama City, Finisterre",Panama,Panama City,Panama City,Panama City,Panama,,city_country_mode_market,Medium,census_city_mode,
recmA2bCFONzlyxd2,Hacienda Los Molinos Boutique,Panama,Boquete,Panama,Boquete / Highlands,Panama Provincial,,str_excel_market_submarket,High,str_excel,
recmDeCd9LqGBzaB0,San Jose,Mexico,Hidalgo Del Parral,Baja California,Other,Mexico Central North,,city_country_mode_market,Medium,census_city_mode,
recn8Wm1D6saOwp30,Courtyard Panama Metromall,Panama,Panama City,Panama City,Panama City,Panama,,city_country_mode_market,Medium,census_city_mode,
