wikidataQid,wikidataName,wikidataCity,wikidataCountry,wikidataLatitude,wikidataLongitude,wikidataWebsite,matchedStagingRecordId,matchedStagingSourceRecordId,matchedStagingName,matchedStagingCity,matchConfidence,matchScore,matchReason,distanceMeters,nameSimilarity,recommendedAction
Q2033262,"Casa de Campo, Dominican Republic",La Romana,Dominican Republic,18.4,-68.91666667,http://www.casadecampo.com.do/,recajGiOCG6zHK2fn,node/2110576737,Casa de Campo,,low,40,name=0.75,1940.7385222289497,0.75,needs_research
Q6038750,Natura Park,Punta Cana,Dominican Republic,,,,recS2vqwxU514b7pR,node/302771731,Natura Park Beach Eco Resort & Spa,Punta Cana,medium,55,name=0.75; city,,0.75,possible_same_property
Q7065415,Now Larimar Resort,Punta Cana,Dominican Republic,18.68,-68.41583333,http://nowresorts.com/larimar/,recdvI9be1ggJj4UD,node/5037222222,Hotel Tropicana Deluxe,Punta Cana,low,35,city; geo=384m,383.9994330771912,0,likely_new_wikidata
Q7121094,Puntacana Resort & Club,Punta Cana,Dominican Republic,18.539194444,-68.362194444,http://www.puntacana.com,rec4hTMlYNEtrGTO3,way/675403679,The Westin Punta Cana - Resort & Club,Punta Cana,low,35,city; geo=611m,610.9109259973532,0.286,likely_new_wikidata
Q19873054,Barceló Bávaro Palace Deluxe,,Dominican Republic,18.663,-68.395,,recW9WJaGgmhUIGa9,node/431025349,Barceló Bávaro Palace Deluxe,,high,77,name=1.00; geo=134m,134.4444623862959,1,likely_same_property
Q56611904,Tortuga Bay,,Dominican Republic,,,,rec005cQ9H0zBYIw3,way/1177931404,Finest Resort,,none,10,Weak or no match signals,,0,likely_new_wikidata
Q70571865,Hotel Best Serenade Resort,Punta Cana,Dominican Republic,,,https://www.serenadepuntacana.com/,rec4BGw6alF1AWNRo,node/1600567851,Hotel,,low,40,name=0.75,,0.75,needs_research
Q111110942,SANA El Jardin Secreto,,Dominican Republic,19.487398,-70.63838,,rec005cQ9H0zBYIw3,way/1177931404,Finest Resort,,none,10,Weak or no match signals,228435.6475642437,0,likely_new_wikidata
Q111110941,Whostal,,Dominican Republic,19.4502074,-70.6975132,,recERhhkxJFYeJpFB,way/164232205,Hodelpa Centro Plaza Hotel,Santiago de los Caballeros,none,20,geo=489m,488.9179398134654,0,likely_new_wikidata
Q111111826,Hostal Playa Bibijagua A & L,,Dominican Republic,18.668556,-68.4040913,,rec6KCeWDVKgAQ1wh,node/4793271688,White Sands Aparta Hotel,,low,45,geo=11m,11.3987867784266,0,likely_new_wikidata
Q111111827,Hotel Tropicana Deluxe,,Dominican Republic,18.6833652,-68.4164424,,recdvI9be1ggJj4UD,node/5037222222,Hotel Tropicana Deluxe,Punta Cana,high,90,name=1.00; geo=19m,19.1822505579788,1,likely_same_property
Q111111824,Punta Cana Hostel,,Dominican Republic,18.6834373,-68.4160977,,rec9pA23Vt3WQKph5,node/3228673796,Hostel Punta Cana,,medium,55,name=1.00,1869.8664375301964,1,possible_same_property
Q111111825,Gava Hostel,,Dominican Republic,18.682958,-68.415549,,rec5IF5bRgx2Iutpe,node/4114901553,GAVA hostel,Bavaro - Punta Cana,medium,65,name=1.00; geo=632m,632.0393821998731,1,possible_same_property
