applyRank,candidateRecordId,osmName,osmCity,osmCountry,osmLatitude,osmLongitude,matchedLegacyRecordId,matchedLegacyName,distanceMeters,matchScore,matchReason,verifiedHotelName,verifiedCity,verifiedCountry,verifiedLatitude,verifiedLongitude,verifiedDedupeKey,promotionRiskNote
137,rec69dxR5v0lgf1MN,Hotel Rafain Palace,Foz do Iguaçu,Brazil,-25.5015862,-54.5384826,rectuqYDdvOaxIqfm,Rafain Palace Hotel,79,100,"Strong name similarity (100%), same country, 79m apart",Hotel Rafain Palace,Foz do Iguaçu,Brazil,-25.5015862,-54.5384826,hotel rafain palace|foz do iguacu|brazil,High-confidence legacy census match; score meets promote threshold.
138,rec6RZZNVRc3l78qi,Hotel Aconchego,Recife,Brazil,-8.1169808,-34.8970816,recL09diFXDewXOMz,Hotel Aconchego,8,100,"Strong name similarity (100%), same country, 8m apart",Hotel Aconchego,Recife,Brazil,-8.1169808,-34.8970816,hotel aconchego|recife|brazil,High-confidence legacy census match; score meets promote threshold.
139,rec842xsMPmve6r4u,Grand Mercure Belém,Belém,Brazil,-1.4528404,-48.4891886,recE5XxMSJPkZpOhx,Grand Mercure Belem,24,100,"Strong name similarity (100%), same country, 24m apart",Grand Mercure Belém,Belém,Brazil,-1.4528404,-48.4891886,grand mercure belem|belem|brazil,High-confidence legacy census match; score meets promote threshold.
140,rec8GgTded88xT12z,Windsor Hotel Leme,Rio de Janeiro,BR,-22.9631073,-43.1696988,recFwYiuY7MpXH4Ho,Windsor Leme Hotel,22,100,"Strong name similarity (100%), same country, 22m apart",Windsor Hotel Leme,Rio de Janeiro,BR,-22.9631073,-43.1696988,windsor hotel leme|rio de janeiro|br,High-confidence legacy census match; score meets promote threshold.
141,recCFrOXJaqHGU51D,Hotel Atlântico Business Centro,Rio de Janeiro,Brazil,-22.9113569,-43.1769281,recerpTodhhEKJhpN,Hotel Atlantico Business Centro,11,100,"Strong name similarity (100%), same country, 11m apart",Hotel Atlântico Business Centro,Rio de Janeiro,Brazil,-22.9113569,-43.1769281,hotel atlantico business centro|rio de janeiro|brazil,High-confidence legacy census match; score meets promote threshold.
142,recD79FgR0cEfsBnI,Hotel Marina Porto Abrolhos,Caravelas,Brazil,-17.7260101,-39.1779378,rec9wk6gR9iZOfPhx,Marina Porto Abrolhos Hotel,24,100,"Strong name similarity (100%), same country, 24m apart",Hotel Marina Porto Abrolhos,Caravelas,Brazil,-17.7260101,-39.1779378,hotel marina porto abrolhos|caravelas|brazil,High-confidence legacy census match; score meets promote threshold.
143,recFpTuQg1TUhpQkq,América Towers Hotel,Salvador,Brazil,-12.9817027,-38.4537198,recrI5AekdML6lWiq,America Towers Hotel,13,100,"Strong name similarity (100%), same country, 13m apart",América Towers Hotel,Salvador,Brazil,-12.9817027,-38.4537198,america towers hotel|salvador|brazil,High-confidence legacy census match; score meets promote threshold.
144,recGc4H4NUrCTOhoW,Hotel Del Rey,Curitiba,Brazil,-25.4321149,-49.2746772,reck27ZPTfOnIvWOx,Hotel Del Rey,15,100,"Strong name similarity (100%), same country, 15m apart",Hotel Del Rey,Curitiba,Brazil,-25.4321149,-49.2746772,hotel del rey|curitiba|brazil,High-confidence legacy census match; score meets promote threshold.
145,recHq4yXyN85k5v5I,Ibis Copacabana Posto 5,Rio de Janeiro,Brazil,-22.9764997,-43.1917564,rec1y1lkl0jggxYxu,ibis Copacabana Posto 5,21,100,"Strong name similarity (100%), same country, 21m apart",Ibis Copacabana Posto 5,Rio de Janeiro,Brazil,-22.9764997,-43.1917564,ibis copacabana posto 5|rio de janeiro|brazil,High-confidence legacy census match; score meets promote threshold.
146,recIHFWMYlJp5Fm4y,MATIZ NITERÓI DESIGN HOTEL,Niterói,Brazil,-22.9121434,-43.1078856,recCVguJMAggjUdC4,Matiz Niteroi Design Hotel,10,100,"Strong name similarity (100%), same country, 10m apart",MATIZ NITERÓI DESIGN HOTEL,Niterói,Brazil,-22.9121434,-43.1078856,matiz niteroi design hotel|niteroi|brazil,High-confidence legacy census match; score meets promote threshold.
147,recJ0kZQylqUyt6iD,San Raphael Hotel,São Paulo,Brazil,-23.5400338,-46.6448779,rec8Ow4MFz5ctKZlu,San Raphael Hotel,5,100,"Strong name similarity (100%), same country, 5m apart",San Raphael Hotel,São Paulo,Brazil,-23.5400338,-46.6448779,san raphael hotel|sao paulo|brazil,High-confidence legacy census match; score meets promote threshold.
148,recJLbQBudDmpfKov,Sleep Inn Guarulhos,Guarulhos,Brazil,-23.4371048,-46.4962447,rec9HH2cWyNbQbn1a,Sleep Inn Guarulhos,28,100,"Strong name similarity (100%), same country, 28m apart",Sleep Inn Guarulhos,Guarulhos,Brazil,-23.4371048,-46.4962447,sleep inn guarulhos|guarulhos|brazil,High-confidence legacy census match; score meets promote threshold.
149,recKqbRzH2hizVEaZ,Hotel Gmatos,Belo Horizonte,Brazil,-19.9171064,-43.9439029,reci6Gn73nyTPDD6g,Hotel Gmatos,4,100,"Strong name similarity (100%), same country, 4m apart",Hotel Gmatos,Belo Horizonte,Brazil,-19.9171064,-43.9439029,hotel gmatos|belo horizonte|brazil,High-confidence legacy census match; score meets promote threshold.
150,recO0CRI27kkZy1lw,Privé Thermas Hotel,Caldas Novas,Brazil,-17.738504,-48.6294574,recFCCKtWBX3Q0ttY,Prive Thermas Hotel,3,100,"Strong name similarity (100%), same country, 3m apart",Privé Thermas Hotel,Caldas Novas,Brazil,-17.738504,-48.6294574,prive thermas hotel|caldas novas|brazil,High-confidence legacy census match; score meets promote threshold.
151,recOAWB5u03sKkyvG,Savaris Apart Hotel,Foz do Iguaçu,Brazil,-25.5450804,-54.5866245,recBhFpfhLOhuio0D,Savaris Apart Hotel,13,100,"Strong name similarity (100%), same country, 13m apart",Savaris Apart Hotel,Foz do Iguaçu,Brazil,-25.5450804,-54.5866245,savaris apart hotel|foz do iguacu|brazil,High-confidence legacy census match; score meets promote threshold.
152,recP8dte6MLy8xFxE,Hotel Atlantico Praia,Rio de Janeiro,BR,-22.9662865,-43.1768303,reckqcxv0h6SACXD2,Atlantico Praia Hotel,14,100,"Strong name similarity (100%), same country, 14m apart",Hotel Atlantico Praia,Rio de Janeiro,BR,-22.9662865,-43.1768303,hotel atlantico praia|rio de janeiro|br,High-confidence legacy census match; score meets promote threshold.
153,recPBnPLvRCfI9knZ,Osasco Hotel,Osasco,Brazil,-23.5344475,-46.7842628,recBt62AUOvikJXZj,Hotel Osasco,30,100,"Strong name similarity (100%), same country, 30m apart",Osasco Hotel,Osasco,Brazil,-23.5344475,-46.7842628,osasco hotel|osasco|brazil,High-confidence legacy census match; score meets promote threshold.
154,recPQEzjArCfkXKv8,Quality Hotel & Suítes São Salvador,Salvador,Brazil,-12.9849782,-38.4495576,reco9433E1Eco3RLW,Quality Hotel & Suites Sao Salvador,21,100,"Strong name similarity (100%), same country, 21m apart",Quality Hotel & Suítes São Salvador,Salvador,Brazil,-12.9849782,-38.4495576,quality hotel & suites sao salvador|salvador|brazil,High-confidence legacy census match; score meets promote threshold.
155,recQjaZsdqewDCSm0,Beira Rio Hotel,Belém,Brazil,-1.4756669,-48.4644882,recfJTTzBsOj7Njcx,Beira Rio Hotel,24,100,"Strong name similarity (100%), same country, 24m apart",Beira Rio Hotel,Belém,Brazil,-1.4756669,-48.4644882,beira rio hotel|belem|brazil,High-confidence legacy census match; score meets promote threshold.
156,recQke5pSRJ9kI2tQ,AlphaPark Hotel,Goiânia,Brazil,-16.7090263,-49.2202812,recCX7NijHzCv46Fb,AlphaPark Hotel,10,100,"Strong name similarity (100%), same country, 10m apart",AlphaPark Hotel,Goiânia,Brazil,-16.7090263,-49.2202812,alphapark hotel|goiania|brazil,High-confidence legacy census match; score meets promote threshold.
157,recS6CsyIwHC4yUQi,Hotel Novo Mundo,Rio de Janeiro,BR,-22.9252036,-43.1732739,recgqspakTISdzHXQ,Hotel Novo Mundo,21,100,"Strong name similarity (100%), same country, 21m apart",Hotel Novo Mundo,Rio de Janeiro,BR,-22.9252036,-43.1732739,hotel novo mundo|rio de janeiro|br,High-confidence legacy census match; score meets promote threshold.
158,recStv8OgtwRBXbn5,Hotel Paraiso das Águas,Bonito,BR,-21.1281347,-56.4859679,recS4ujainThB3HD1,Hotel Paraiso Das Aguas,16,100,"Strong name similarity (100%), same country, 16m apart",Hotel Paraiso das Águas,Bonito,BR,-21.1281347,-56.4859679,hotel paraiso das aguas|bonito|br,High-confidence legacy census match; score meets promote threshold.
159,recTauqpKRCIZ4fWp,Quality Hotel Curitiba,Curitiba,Brazil,-25.4406724,-49.2874598,rec2CuHxNh4pLUieN,Quality Hotel Curitiba,9,100,"Strong name similarity (100%), same country, 9m apart",Quality Hotel Curitiba,Curitiba,Brazil,-25.4406724,-49.2874598,quality hotel curitiba|curitiba|brazil,High-confidence legacy census match; score meets promote threshold.
160,recUJIcZOD7ExEy2k,Miller Flat Hotel,Curitiba,Brazil,-25.4255478,-49.2701549,recFWJnQ4QHTS0723,Miller Flat Hotel,3,100,"Strong name similarity (100%), same country, 3m apart",Miller Flat Hotel,Curitiba,Brazil,-25.4255478,-49.2701549,miller flat hotel|curitiba|brazil,High-confidence legacy census match; score meets promote threshold.
161,recVnlM1vgjbeQp9P,Hotel Vila Serrana,Sete Lagoas,Brazil,-19.4574434,-44.2481567,rech5cBSgDW1INZV4,Hotel Vila Serrana,13,100,"Strong name similarity (100%), same country, 13m apart",Hotel Vila Serrana,Sete Lagoas,Brazil,-19.4574434,-44.2481567,hotel vila serrana|sete lagoas|brazil,High-confidence legacy census match; score meets promote threshold.
162,recWm59XiEfh8I2fj,Home Green Home,Campos do Jordão,Brazil,-22.748697,-45.5566314,recpMxbsHlRk8tVyB,Home Green Home,10,100,"Strong name similarity (100%), same country, 10m apart",Home Green Home,Campos do Jordão,Brazil,-22.748697,-45.5566314,home green home|campos do jordao|brazil,High-confidence legacy census match; score meets promote threshold.
163,recX4q0AnxtvGbm8F,Mero Hotel Boutique,Cajueiro da Praia,Brazil,-2.9112313,-41.413672,reck6m3yR4jQrwOr8,Mero Hotel Boutique,232,100,"Strong name similarity (100%), same country, 232m apart",Mero Hotel Boutique,Cajueiro da Praia,Brazil,-2.9112313,-41.413672,mero hotel boutique|cajueiro da praia|brazil,High-confidence legacy census match; score meets promote threshold.
164,recXU7VBYkpBFCm7O,Littoral Hotel,João Pessoa,Brazil,-7.1291297,-34.8229527,recpG24oWXitCSJRg,Littoral Hotel,4,100,"Strong name similarity (100%), same country, 4m apart",Littoral Hotel,João Pessoa,Brazil,-7.1291297,-34.8229527,littoral hotel|joao pessoa|brazil,High-confidence legacy census match; score meets promote threshold.
165,recY437Oi5BIAFlGY,Belém Soft Hotel,Belém,Brazil,-1.454587,-48.4863346,rec0Ct1YQeMREb0KA,Belem Soft Hotel,6,100,"Strong name similarity (100%), same country, 6m apart",Belém Soft Hotel,Belém,Brazil,-1.454587,-48.4863346,belem soft hotel|belem|brazil,High-confidence legacy census match; score meets promote threshold.
166,recYPGzVxgDxgCHXD,Estanplaza Funchal Faria Lima,São Paulo,Brazil,-23.5934506,-46.6890369,recgjMDLMJGLj8eXD,Estanplaza Funchal Faria Lima,18,100,"Strong name similarity (100%), same country, 18m apart",Estanplaza Funchal Faria Lima,São Paulo,Brazil,-23.5934506,-46.6890369,estanplaza funchal faria lima|sao paulo|brazil,High-confidence legacy census match; score meets promote threshold.
167,recYt74ksZgTgHGgc,Copacabana Mar Hotel,Rio de Janeiro,Brazil,-22.965073,-43.178758,recEB0QggKmt4k45K,Copacabana Mar Hotel,16,100,"Strong name similarity (100%), same country, 16m apart",Copacabana Mar Hotel,Rio de Janeiro,Brazil,-22.965073,-43.178758,copacabana mar hotel|rio de janeiro|brazil,High-confidence legacy census match; score meets promote threshold.
168,recZWoeVbylIQB4nJ,Transamerica Prime Paradise Garden,São Paulo,Brazil,-23.5746243,-46.6478931,rechxpg5lOLbY3GF4,Transamerica Prime Paradise Garden,22,100,"Strong name similarity (100%), same country, 22m apart",Transamerica Prime Paradise Garden,São Paulo,Brazil,-23.5746243,-46.6478931,transamerica prime paradise garden|sao paulo|brazil,High-confidence legacy census match; score meets promote threshold.
169,recb33kDyaxx0lKdD,Bahiamar Hotel,Salvador,Brazil,-12.9936508,-38.4408527,recW0uptafuJNOtXm,Bahiamar Hotel,179,100,"Strong name similarity (100%), same country, 179m apart",Bahiamar Hotel,Salvador,Brazil,-12.9936508,-38.4408527,bahiamar hotel|salvador|brazil,High-confidence legacy census match; score meets promote threshold.
170,recbk0raDpfGfWqgI,Ecologic Ville Resort & Spa,Caldas Novas,Brazil,-17.7455706,-48.6411838,recB1YgPUUNed3cKn,Ecologic Ville Resort & Spa,29,100,"Strong name similarity (100%), same country, 29m apart",Ecologic Ville Resort & Spa,Caldas Novas,Brazil,-17.7455706,-48.6411838,ecologic ville resort & spa|caldas novas|brazil,High-confidence legacy census match; score meets promote threshold.
171,rec1o2lAdfpedjrxL,Hotel García,Colón,Panama,9.3631154,-79.9018825,rec7YCfjbNNhtGqCj,Hotel Garcia,25,100,"Strong name similarity (100%), same country, 25m apart",Hotel García,Colón,Panama,9.3631154,-79.9018825,hotel garcia|colon|panama,High-confidence legacy census match; score meets promote threshold.
172,rec2Ll5QqppnXxh4c,Avila Hotel,Panama City,Panama,8.9721701,-79.5353611,recIc1Ar87nkPNwXD,Hotel Avila,23,100,"Strong name similarity (100%), same country, 23m apart",Avila Hotel,Panama City,Panama,8.9721701,-79.5353611,avila hotel|panama city|panama,High-confidence legacy census match; score meets promote threshold.
173,rec2wic7ha4na3ov4,Hotel Santa Fe,Santa Fe,Panama,8.5046294,-81.0729463,recTnF4vJIt6oZ890,Hotel Santa Fe,14,100,"Strong name similarity (100%), same country, 14m apart",Hotel Santa Fe,Santa Fe,Panama,8.5046294,-81.0729463,hotel santa fe|santa fe|panama,High-confidence legacy census match; score meets promote threshold.
174,rec3lnWjgz27U0TLC,Hotel Bella Vista,Panamá,Panama,8.9749872,-79.5350756,recHuwUPvZ9DDJJQy,Hotel Bella Vista,40,100,"Strong name similarity (100%), same country, 40m apart",Hotel Bella Vista,Panamá,Panama,8.9749872,-79.5350756,hotel bella vista|panama|panama,High-confidence legacy census match; score meets promote threshold.
175,rec6yVdNWiEYni8FU,Best Western El Dorado Panama Hotel,Panamá,Panama,9.0058521,-79.5391137,rec5sKWsYfhiKJtNn,Best Western El Dorado Panama Hotel,7,100,"Strong name similarity (100%), same country, 7m apart",Best Western El Dorado Panama Hotel,Panamá,Panama,9.0058521,-79.5391137,best western el dorado panama hotel|panama|panama,High-confidence legacy census match; score meets promote threshold.
176,rec8HIkVCjpFwg1ox,Principe Hotel & Suites,Ciudad de Panamá,Panama,8.9877429,-79.5247149,rectr5Q9AP0xNuwdX,Principe Hotel & Suites,10,100,"Strong name similarity (100%), same country, 10m apart",Principe Hotel & Suites,Ciudad de Panamá,Panama,8.9877429,-79.5247149,principe hotel & suites|ciudad de panama|panama,High-confidence legacy census match; score meets promote threshold.
177,rec8uG62CMjtNVQXe,Plaza Paitilla Inn,Panama,Panama,8.9735245,-79.5165669,rec5Iu7VDNWmGilzQ,Plaza Paitilla Inn,22,100,"Strong name similarity (100%), same country, 22m apart",Plaza Paitilla Inn,Panama,Panama,8.9735245,-79.5165669,plaza paitilla inn|panama|panama,High-confidence legacy census match; score meets promote threshold.
178,rec9zvuI1sKhmLq6k,Gamboa Rainforest Resort,Gamboa,Panama,9.1215656,-79.6926525,recQjmtj70W15glMb,Gamboa Rainforest Resort,20,100,"Strong name similarity (100%), same country, 20m apart",Gamboa Rainforest Resort,Gamboa,Panama,9.1215656,-79.6926525,gamboa rainforest resort|gamboa|panama,High-confidence legacy census match; score meets promote threshold.
179,recDiyKEZieUHVKdS,La Casa de la Abuela,Boquete,Panama,8.7827046,-82.4334716,recPYrR8BEyhlH8Y8,La Casa de la Abuela,13,100,"Strong name similarity (100%), same country, 13m apart",La Casa de la Abuela,Boquete,Panama,8.7827046,-82.4334716,la casa de la abuela|boquete|panama,High-confidence legacy census match; score meets promote threshold.
180,recFUtAxzqMksnsDq,Hotel Bellagio,Metetí,Panama,8.5002364,-77.9801099,recJp2cDFTBhZXK3h,Hotel Bellagio,62,100,"Strong name similarity (100%), same country, 62m apart",Hotel Bellagio,Metetí,Panama,8.5002364,-77.9801099,hotel bellagio|meteti|panama,High-confidence legacy census match; score meets promote threshold.
181,recFoClud2l2JCEWO,Hampton by Hilton David,David Sur,Panama,8.427332,-82.4376605,recG4fIejQRdfUNIm,Hampton by Hilton David,31,100,"Strong name similarity (100%), same country, 31m apart",Hampton by Hilton David,David Sur,Panama,8.427332,-82.4376605,hampton by hilton david|david sur|panama,High-confidence legacy census match; score meets promote threshold.
182,recJw7Qj69CjUH8CY,Hotel Iris,David,Panama,8.4274749,-82.4258351,rectHcQ8WzkSjw5Eo,Hotel Iris,16,100,"Strong name similarity (100%), same country, 16m apart",Hotel Iris,David,Panama,8.4274749,-82.4258351,hotel iris|david|panama,High-confidence legacy census match; score meets promote threshold.
183,recOX8ctsREcbeI56,Hotel Castilla,David,Panama,8.4279479,-82.4263935,recGH4xLVHUBQHbFM,Hotel Castilla,16,100,"Strong name similarity (100%), same country, 16m apart",Hotel Castilla,David,Panama,8.4279479,-82.4263935,hotel castilla|david|panama,High-confidence legacy census match; score meets promote threshold.
184,recPEhekFPKf6Opg6,Hotel Milan,Ciudad de Panamá,Panama,8.9867836,-79.5274369,recWoqK7g4hCQFaYK,Hotel Milán,11,100,"Strong name similarity (100%), same country, 11m apart",Hotel Milan,Ciudad de Panamá,Panama,8.9867836,-79.5274369,hotel milan|ciudad de panama|panama,High-confidence legacy census match; score meets promote threshold.
185,recU37XtyUCL1v6Aq,Hotel Puerta del Sol,David,Panama,8.4273392,-82.4269765,recvBZHgQM81MPRn0,Hotel Puerta del Sol,15,100,"Strong name similarity (100%), same country, 15m apart",Hotel Puerta del Sol,David,Panama,8.4273392,-82.4269765,hotel puerta del sol|david|panama,High-confidence legacy census match; score meets promote threshold.
186,recUN8r0B3R8Gftry,Grand International Hotel,Panama,Panama,8.9893081,-79.5274535,recjHAneqPJBYYQG3,Grand International Hotel,17,100,"Strong name similarity (100%), same country, 17m apart",Grand International Hotel,Panama,Panama,8.9893081,-79.5274535,grand international hotel|panama|panama,High-confidence legacy census match; score meets promote threshold.
187,recX8rrVpvYN5LqZL,Hotel Madrid,David,Panama,8.4341969,-82.4246921,recRkEzVLjN8tn6Zu,Hotel Madrid,6,100,"Strong name similarity (100%), same country, 6m apart",Hotel Madrid,David,Panama,8.4341969,-82.4246921,hotel madrid|david|panama,High-confidence legacy census match; score meets promote threshold.
188,recYA2ekSaPVhuI8t,Hotel Los Rivera,David,Panama,8.4344793,-82.4266818,recT8lwuxRsWTC5Ny,Hotel Los Rivera,4,100,"Strong name similarity (100%), same country, 4m apart",Hotel Los Rivera,David,Panama,8.4344793,-82.4266818,hotel los rivera|david|panama,High-confidence legacy census match; score meets promote threshold.
189,recalRL2PZmsk9VxQ,Hotel San Thomas Inn,Ciudad de Panamá,Panama,8.9687176,-79.5353839,recD9ytFV108d94hX,Hotel San Thomas Inn,16,100,"Strong name similarity (100%), same country, 16m apart",Hotel San Thomas Inn,Ciudad de Panamá,Panama,8.9687176,-79.5353839,hotel san thomas inn|ciudad de panama|panama,High-confidence legacy census match; score meets promote threshold.
190,recdFQe2vfFABl4vB,Sheraton Grand Panama,Ciudad de Panama,Panama,8.9892274,-79.5016307,reciaTaDDhXUdXczZ,Sheraton Grand Panama,12,100,"Strong name similarity (100%), same country, 12m apart",Sheraton Grand Panama,Ciudad de Panama,Panama,8.9892274,-79.5016307,sheraton grand panama|ciudad de panama|panama,High-confidence legacy census match; score meets promote threshold.
191,recfrXefmeYgjGyCB,Sand Diamond Hotel,Colón,Panama,9.3460761,-79.893633,rec8L1Kc0D2S0hJTZ,Sand Diamond Hotel,5,100,"Strong name similarity (100%), same country, 5m apart",Sand Diamond Hotel,Colón,Panama,9.3460761,-79.893633,sand diamond hotel|colon|panama,High-confidence legacy census match; score meets promote threshold.
192,reckoA698km7vvz4h,Hotel Iberia Sur,David,Panama,8.4306881,-82.4288428,recdJiT324so2f7Yl,Hotel Iberia Sur,111,100,"Strong name similarity (100%), same country, 111m apart",Hotel Iberia Sur,David,Panama,8.4306881,-82.4288428,hotel iberia sur|david|panama,High-confidence legacy census match; score meets promote threshold.
193,recktt1epGjae7C4f,The Westin Panama,Panama City,Panama,9.0097329,-79.4750505,recCGJdRZIGhglOZq,The Westin Panama,20,100,"Strong name similarity (100%), same country, 20m apart",The Westin Panama,Panama City,Panama,9.0097329,-79.4750505,the westin panama|panama city|panama,High-confidence legacy census match; score meets promote threshold.
